,ID,tweet,label
0,dz_train_00001, على حسب موقعك يبدو أنك صاحب نظرة ثاقبة يخي تبهليل ,negative
1,dz_train_00002, تبهليل هاذا,negative
2,dz_train_00003, هاذي تبهليل ماشي فهامة,negative
3,dz_train_00004, تخاف نجاوب يا ناصر ببلوك لانو طريقة السؤال فيها شوي تبهليل وتذاكي,negative
4,dz_train_00005, مرنكة أقسم بالله تبهليل ما بعد منتصف الليل,negative
5,dz_train_00006, لي قام بالنصب على الطلبة ما يدير والو يقدم محتوى تبهليل و عنده ملايين المتابعين يحصد ملايين الدنانير على ظهورهم,negative
6,dz_train_00007, فعلا قبل مدة كان تويتر نقي تدخل هنا ترتاح دوك تويتر اصبح مقل الفايسبوك معمر تبهليل الواحد هرب من الفيسبوك ب… ,negative
7,dz_train_00008, صباح الخير بالصح كي تكون سنة تلبس كيما هاك هاذا يتسمى تبهليل معليش تكون نظيف ومحسن وجهك… ,negative
8,dz_train_00009, راك كبير على هذا تبهليل,negative
9,dz_train_00010, راك تخدم على شرك ازونا بلا تبهليل,negative
10,dz_train_00011, تبهليل el garghotti يستمر مع المتبردعين,negative
11,dz_train_00012, سمعت الفيديو تبهليل ذا مش كرم,negative
12,dz_train_00013, العار والعيب أنو تلقى قنوات كيما العربية والحدث مدايرة تغطية على الحرائق والشيء لي راه صاري في الجزائر والقنوات تعنا مدايرة…,negative
13,dz_train_00014, كلكم خرطي,negative
14,dz_train_00015, قالتلو ؛ أختك وعلاه يسموها شريفة ,negative
15,dz_train_00016, وعلاه ناس يشنفو هكدا لالا ,negative
16,dz_train_00017, وعلاه راكم تردو السلام بالمعرفة راني نشوف فيكم ,negative
17,dz_train_00018,وعلاه تفتحوا الجرح ,negative
18,dz_train_00019, وعلاه راكي تسوڨي في طيارة علمينا نسوڨو,negative
19,dz_train_00020, وعلاه ماتريحش في دارها مع زوجها كاين رجل يتحرش ومراة تتحرش ويوقع هو في مصيدة واحدة والعكس تلبس الميني… ,negative
20,dz_train_00021,معلومة جهل من عند أيوب وعلاه يا خويا وعلاه ,negative
21,dz_train_00022, لا ياكهل ماتضحكش وعلاه باسكو راهي تدخل في نوع من كوميديا الاستهزائيةnومشمل شكون راهو يسته… ,negative
22,dz_train_00023, وعلاه حنا عندنا منتخب عالمي أسهل فرصة للتأهل ضيعناها برعونة المدرب وبعض اللاعبين,negative
23,dz_train_00024, مشي تليفون حجة التقافة الشعب معندوش وعلاه اجنبين متقفين,negative
24,dz_train_00025, وعلاه تعب روحك وتروح للمرشي تقضيud كي ممنوع الاعتراض ؟؟؟ حط رجل على رجل وتشرط يا مول القضيان ,negative
25,dz_train_00026, أنا ما فهمتش وعلاه يستقبلوهميستهلو حشاكم بزقة في الوجه المرخس,negative
26,dz_train_00027, وعلاه غير احترافي ؟؟ أصلا اعلامنا لا يرتقب لهاته الصفة… ,negative
27,dz_train_00028, ههههه كل يوم موش، ساهلnوعلاه ما نقصوش في الدرجة ,negative
28,dz_train_00029, وعلاه مالا تعلقو على التغريدات التي فيها اسم الجزائر؟؟ معقدين ؟ هاذا هو طبعكم يالعياشة و هاذا الي تعرفو ,negative
29,dz_train_00030, وعلاه ما غلقتوش حتى انتوم لمدة بسيطة ؟ لأنكم جبناء و انذال,negative
30,dz_train_00031, وعلاه مغطية وجها بعلم الجزائر ؟ حشمت بيه ؟nالمهم راهي عارفة من اين تؤكل الكتف، خليها دير les affaires,negative
31,dz_train_00032, وعلاه متابعتنيش,negative
32,dz_train_00033, و انت وعلاه راك تابع في تغريذاته يا نذل يا ذبابة؟؟ نعرف واحد مل من حاجة يوقف متابعت… ,negative
33,dz_train_00034, وعلاه انتي ملاكة الجمال,negative
34,dz_train_00035, وعلاه اسيدي ,negative
35,dz_train_00036, وعلاه وهران وش عندهم وجوه الشر هاذو في وهران,negative
36,dz_train_00037, صفي أنت منهم وعلاه راك تسب,negative
37,dz_train_00038, وعلاه ياربي الجزائر كل ما تجد رجالة يخدموها يغادرونا سريعا ,negative
38,dz_train_00039, وعلاه هذا تشوف فيه جارية انت,negative
39,dz_train_00040, امشي حتى شهروعلاه باش نحسدوك ,negative
40,dz_train_00041,حاب نعرف برك المديرية العامة للغابات واش خدمتها ؟nمادام الدنيا هاملة اذن دعها فانها مأمورة وعلاه الخسائر على هذه… ,negative
41,dz_train_00042, وعلاه زعما بغيتي تقوليهالي بلفغونسي ,negative
42,dz_train_00043, وعلاه لابسين قش الشتاء الدنيا سخونة وهوما مشتين على الأقل يعرفو يكدبو,negative
43,dz_train_00044, وعلاه تعايري ولا طيحي على خاوتك ,negative
44,dz_train_00045, وعلاه تحوسي تبكيني جيلان nوانا بالكاد اتجاوز كل مغادر لدرجة انني لم اعود اعلم من انتظر عودته او سألوح بكف ال…,negative
45,dz_train_00046, وعلاه تحوسي تبكيني جيلان nوانا بالكاد اتجاوز كل مغادر لدرجة انني لم اعود اعلم من انتظر عودته او سألوح… ,negative
46,dz_train_00047,جزت على فيديو محزن جدا لأحد المتضررين في القل يقول فيه وشهقة البكاء ترافقه قاعدين نتغداو والدنيا شاعلة وعلاه… ,negative
47,dz_train_00048, هههه وفي سبتمبر راح تصرا امطار طوفانية واح نزيدو نسمعو نفس الكاسيطا علاش مينظفوش روڨارات وعلاه ماميبنيوش طرق مليحة ,negative
48,dz_train_00049, وعلاش غير عندنا الي ما يديروش خلية أزمة مستعجلة لإجلاء السكان من هاد المناطق قبل ما تلحق النيران عن… ,negative
49,dz_train_00050, وعلاه ماتخرجوش النساء لي درتهم يخدموا في الحماية ومحافظة الغابات؟ حسبي الله ونعم الوكيل,negative
50,dz_train_00051, وعلاه الصورة تعيف,negative
51,dz_train_00052, وعلاه ماتحكيش على الطيارة لي كراوها وهي خردة وعلاه ماكانش محاسبة,negative
52,dz_train_00053, وعلاه يتعب روحو اسيدي,negative
53,dz_train_00054,علاه الحرائق فقط في اوت بشكل مرعب وعلاه نار اليوم لهبت فجأة وبسرعة وبطريقة مخيفة وزاد كمل عليها الريح وبلا ما يفيق… ,negative
54,dz_train_00055, وعلاه ما بعثتوش طيارات,negative
55,dz_train_00056, وعلاه نتا تدخل حرب عارف بلي تخسرها,negative
56,dz_train_00057, وليت نكره الصيف من هذه السناريوهات مافيا العقارات ادوها سلمية وعلاه منكر هدا حرڨتونا,negative
57,dz_train_00058, الكل عارف وعلاه الشباب يحرڨ ماكلاه دزيدو عليها لا فقر لايديك لا يجيبك الساعة بخمسة جنيه والحسابة بتحسب والفاهم يفهم,negative
58,dz_train_00059, وعلاه هابلين ملا يتزوجو موظفات ؟؟nناس مرضى,negative
59,dz_train_00060,وعلاه غير انا فيديوهاتي مايطلعوش nاصلا هذا الفيديوا مراحش يطلع ,negative
60,dz_train_00061, وعلاه ما بلغش على هذيك السيارة,negative
61,dz_train_00062, وعلاه جاهلة كيفك مملوكة,negative
62,dz_train_00063, هي انا ضامن بلي راح ينصاب قبل تربص عطال رخيىس nبصحnوعلاه حابة يدخل عمورة ؟nراني متأكد بلي ضمن الاساسية uf,negative
63,dz_train_00064, وعلاه بطلتي الخير رجعلك شر,negative
64,dz_train_00065, وعلاه جيناك علي العين العورة حنا ,negative
65,dz_train_00066, وعلاه هذوك جاوك عباد كيما الناس، ياكلو الحنوشة، الفكارن، الخنافس وزيد وزيد,negative
66,dz_train_00067, الله غالب تخمام لعرب كي شكبي nnما فهمتش وعلاه يتعاداو و فالخر كلهم مسلمين… ,negative
67,dz_train_00068, وعلاه الزحف يا وليدي، كرعيهم مقطوعين ,negative
68,dz_train_00069, لا حول ولا قوة إلا بالله وعلاه سبت الجزائريين؟؟؟؟,negative
69,dz_train_00070, خطبها وعلاه راهي تبكي nالف مبروك والعقوبة لي مزالت متزوجتش,negative
70,dz_train_00071,كي يلقاو إنسان نية يلعبو بيه حتى يكرهو ، منبعد يقولك وعلاه مبقاتش النية فالبلاد,negative
71,dz_train_00072,وعلاه مزال كاين عيباد يهتمو بل مضهر تاعهم كثر من تصروفاتهم,negative
72,dz_train_00073, وعلاه الرجال ماعندهمش قلب والاحساس والضمير كي تبكي نقلك,negative
73,dz_train_00074, وعلاه خليجي حنا الجزائريين معمرنالكمش عينيكم,negative
74,dz_train_00075, فرصة وعلاه ضيعها ,negative
75,dz_train_00076, وعلاه يهدر بالفرونسي,negative
76,dz_train_00077, ههههههه هى زواخة وعلاه نعمر بيها راسي متابعينها حتى هم ويكونوا كيفها,negative
77,dz_train_00078,ماكاش كامل لي يقيمك ويقولك كيراك شوية,negative
78,dz_train_00079, ماكاش الماء، الناس ولات تخسر باطل، ١٠٠م تسقام ١٠٠مليون و ما يلقاوش الماء,negative
79,dz_train_00080, بالنسبالي راح مجرد خرطي مهما يعمل يظل في عيني فاشل ومادار والو وملف عقود ماقبل التشغيل يكفيه كبصمة عار… ,negative
80,dz_train_00081, ماكاش الغاز يا الله روحو تطلبو بعيد ما فيهاش و شكرا,negative
81,dz_train_00082, ياخويا ذرة كرامة ما عندوش ماكاش gاع النيف,negative
82,dz_train_00083, يا ماكاش الروجوع روح روح وحد المخلوع,negative
83,dz_train_00084, ذوي الاحتياجات الخاصة معندهمش الحق اكثر فئة مهمشة ماكاش لي يدافع على حقوقهم,negative
84,dz_train_00085, ماكاش لي يقلق كيما صحاب الانرويد كي يبدلو للايفونiphone,negative
85,dz_train_00086, سيارة كنت مستحقها باش ناخذ بيها الوالد يعالج السرطان لي كلاه و الآن ربي يرحموا و زيد الحدود… ,negative
86,dz_train_00087, ماكاش للاسف ,negative
87,dz_train_00088, هيا ماكاش ماكاش خلي يتخايلو و يديرو شوية شان لعمرهم واحد ماراه مقيمهم ,negative
88,dz_train_00089, يعطيك الصحة عندهم كلام ماكاش اللي يقدر يفهمو,negative
89,dz_train_00090, يا لطيف النور ماكاش في وجههم تقول عليهم شياطين,negative
90,dz_train_00091,حسب مصالح الأرصاد الجوية nأنه ابتداء من اليوم إن شاء الله ماكاش الصباح كاين الڨايلة مباشرة حتى للمغرب باش اديروا حسابكم,negative
91,dz_train_00092, حتى في حالة صحة الخبر انتم غير معنيون ماكاش خو برك,negative
92,dz_train_00093, هذيك هي الكلمة يلعبوها مي كي تجي لصح ماكاش فرق بين تخمامهم و بين العقلية السائدة عند العامة,negative
