,ID,tweet,label
0,ma_train_00001,hhhhhhhhhhhhhhhhhhhhhh ana gama smatt ach kant katoll kanrakazz ghir ma zineb oyassmin ochirine,neutral
1,ma_train_00002,hhhh harda jomhorha la filan kadahko lach mrakzin maha ama kayn bin li kaydir dakchi alanan ou li khbit bhal bohila,neutral
2,ma_train_00003, أتفهم العثماني وأتفهم الجدل الشعبي الحل حان وقت تنزيل شامل للجهوية المتقدمة وتحمل المتخبين الجهوين لكامل صلاحياتهم لشرح تفا…,neutral
3,ma_train_00004,كان افظل حاكم عربي,positive
4,ma_train_00005,ماريانو راخوي خاص المغرب واسبانيا يشرحو للرأي العام وجميع المتدخلين بوضوح تفاصيل الاتفاق اللي توصلو ليه,neutral
5,ma_train_00006,كيف سمحت لك نفسك ان تقارن اردوغان بالحمار بنكيران للتذكير انا ممصوتش,negative
6,ma_train_00007,مليلية رئيس حزب “بوكس” الإسباني اللي كيعادي بلادنا تأجيل زيارة وزير الخارجية للرباط كييبن بللي المغرب هو المتحكم فكلشي وكيطالب حكومة مدريد تبقى سادة الحدود بين البلدين,neutral
7,ma_train_00008,dakchi alach hamdoulah mereta et en bonne santé ,positive
8,ma_train_00009,تحياتي أستاذة منيب,positive
9,ma_train_00010,ولا انا متحزب ولكن حزب العدالة بنكيران أخبت خلق الله,negative
10,ma_train_00011,غير التحت ، الفوق لا ,neutral
11,ma_train_00012,ترح و ترجع بالسلام ياحبيبي,positive
12,ma_train_00013,اول فنان مغربي عربي تصل اغنيته ل خمسة مئة مليون مشاهدة على يوتيوب,positive
13,ma_train_00014,ها أول تعليق رسمي من خارجية الصبليون على اكتشاف احتياطات نفطية كبيرة فسواحل أگادير,neutral
14,ma_train_00015,wlah matfro insana tafha mandha hta hadaf f hyatha bghat ghir nas igolo liha zwina tfoo,negative
15,ma_train_00016,الله أكبر والعزة لله الله يحميكم وينصركم,positive
16,ma_train_00017,السياحة مقابل البيتكوين، فعلا فكرة رائعة و غير مسبوقة و إشهار مجاني للسياحة بالمغرب كما أشار المقال أتمنى أن يتدارك المغرب الموقف و يلتحق بالركب ارحموا هذا البلد السعيد,positive
17,ma_train_00018,مجموعة طاليس العالمية حلات مركز عملياتي للأمن السيبيراني فالمغرب,neutral
18,ma_train_00019,هذشى كاين الاغلبية ديال الشعب عارف الله غالب,negative
19,ma_train_00020,conane likidambety o abdsalam dar bareh hamla alek hejmo la had siyed bach ibtissam tdar dir ando aflam,negative
20,ma_train_00021,تقرير مفاوضات إسرائيلية تركية سرية ناقشو فيها يدار أنبوب غاز مشترك لتزويد اوروبا,neutral
21,ma_train_00022,machi darori tkhayel maya bnek de ans chiyar chi loba jatek nel aynina dabezti ma jara konti kharja men bab we weld lawma tira fe ballon jak nel aynina mohim tzeratlek laynina we saba khadama had make up tutorial yedar ynefek,negative
22,ma_train_00023,الحكومة عطات هدايا جديدة للمقاولات الوطنية لي كتشد الصفقات العموميةمنها تمديد آجال الأشغال واسترجاع الضمانات وفسخ الكونطرا وديا,neutral
23,ma_train_00024,ان لله وان اليه راجعون ولا حول ولاقوة الابالله العلي العظيم,negative
24,ma_train_00025,الدكتور التازي واللي معاه تابعوهم بتهمة “الاتجار فالبشر” والقضية عندهم حامضة بزاف,neutral
25,ma_train_00026,تبارك الله على سي حكيمي بالتوفيق,positive
26,ma_train_00027,شكرا على المجهودات اتمنى لو كانت الترجمة,positive
27,ma_train_00028,hna kanmoto lik kifma nti bay ma rafa wakha kaytkhasem mak rah ziza lih hna likanchofo kolchi slm,positive
28,ma_train_00029,خاص تفاصيل صادمة على جريمة اغتصاب تلميذة قاصرة من طرف أستاذ ففاس,neutral
29,ma_train_00030,لاينبغي لصحفي يحترم نفسه ويحترم مهنته ان يطرح مثل هذا السؤال,negative
30,ma_train_00031,شكرًا لكم بزاف قريت جميع التعاليق و أسعدني تفاعلكم أسعدكم الله ﻿,positive
31,ma_train_00032,انا متافقة معاك امين جطيوي ماتبدل صاحبك غي ما كرف هاحنا غادي نشوفو هاد الحكومة اش غادي دير,positive
32,ma_train_00033,و أسكنه فسيــــح جناتــــــــه، إن لله و إن إليــه راجعــون,negative
33,ma_train_00034,واخيرا انزاح راس من رؤوس الخرافات و الاحلام المنمقة و الكلمات الفضفاضة فهو لم يكن يوما صديقا للشعب ولا ودودا به ولا مدافعا غن مسكين بل هو نسخة من فتح الله اولعلو في صورة متسيلم على وزن دون كشوط يحارب الاشباح والتماسيح والعفاريت والمساكين والشعب المسحوق بالفاظ لا تمت لرجل سياسة لا من قريب ولا من بعيد فهو دمية مهرجة فقط فلا بارك الله فيك ولا في من صوت عليك,negative
34,ma_train_00035,rfati rasna w rfati rayat bladna lah yhfdek wykhalik lina jtm ,positive
35,ma_train_00036,لكن للأسف الشديد الرشوة استفحلت في مجتمعنا وأصبحت شيئا عاديا,negative
36,ma_train_00037,منذ بداية الولاية الحكومية منصب شغل مباشر وغير مباشر جديد خرج للوجود أخنوش خاص الحرص على الفعالية فدراسة المشاريع اللي كتدوز فلجنة الاستثمارات,neutral
37,ma_train_00038,li lya alti chi bnat rayemchiw and btissam chno daro,neutral
38,ma_train_00039,ماشي شوف تلفزة هاذ القناة الجاهلة الرذيءة أنصح كل للأحرار والحرائر من شطبها والله الغني,negative
39,ma_train_00040,وزيرة الانتقال الطاقي مكنشريوش الغاز من اسبانيا وها شنو تافقنا معها وكنوجدو صفقات مع دول صديقة منها قطر باش نستوردو الغاز الطبيعي,neutral
40,ma_train_00041,يالمذلولا الذل لي راكم عايشين فيه يكفيكم وزيادة اصبحتم أضحوكة العالم,negative
41,ma_train_00042,سامسونج هيا التوب ها الاس عندي و شحال من مرة طاح و مزال خدام السلعة د الشينوا منشريهاش و تبقى غا هي,positive
42,ma_train_00043,الله أكبر القدس عاصمة فلسطين الأبدية و لقد فتحتم أبواب جهنم عليكم يا يهود,negative
