,ID,tweet,label
0,sw_train_00001,kwani tanesco wanakataga umeme makusudinadhani kuna changamoto behind zinatakiwa zitatuliwe na sio kutoa matamko,negative
1,sw_train_00002,cjawahi kuona content yoyote zaidi ya kuwa analalamika cjawahi kuona akitafuta solution ya tattizo zaid ya kulalamikabasi tutakuwa na rais wa ajabu huwa mwaka ,negative
2,sw_train_00003,bomu lililokuwa limetegwa ndani ya gari likiwalenga wajenzi kutoka uturuki limelipuka katika eneo la afgoye kaskazini magharibi mwa mji mkuu wa mogadishu somalia limeua watu wanne polisi wamesema,negative
3,sw_train_00004,kuna video inasambaa mitandaoni jamaa amemfumania mkewe akiwa na jamaa mwingine huku akimlalamikia jamaa akimwambia kw,negative
4,sw_train_00005,viwavijeshi wanapita katika hatua kuu za ukuaji katika hatua yake ya larvae mayai hutagwa na larvae mmoja kwa mwezi hatua pekee inayowezesha kusambaa kwa viwa vijeshi ni kipepeo ambao huruka kwa makundi na wanaweza kuruka hadi kilometa ,negative
5,sw_train_00006,familiandugumarafiki wana hofu kubwa juu ya watotondg zao walioko chinakulinda maisha ya watu na uhai ni kipaumbele,negative
6,sw_train_00007,suala la miundombinu katika maeneo ya uchimbaji mdogo nchini iliyoulizwa kwenye imejibiwa kisiasa zai,negative
7,sw_train_00008,klabu ya imemfukuza kocha wake sababu ikiwa ni kutokana na muendelezo wa matokeo mabovu ya klabu hiyo,negative
8,sw_train_00009,waliomua kinyama mtoto wasakwa gt,negative
9,sw_train_00010,mwenyekiti wa kijiji cha kilombero wilayani geita amejikuta akisusia kikao kilichoitishwa na mkuu wa wilaya hiyo ambacho kilikuwa na lengo la kuleta suluhu baada ya wananchi kudaiwa kufunga ofisi ya kijiji kwa kile kilichoelezwa kuwa kuna ubadhirifu wa fedha ,negative
10,sw_train_00011,wananchi wa mtaa wa nshinde wilayani geita wamelalamikia ubovu wa barabara inayoelekea fadhili bucha na mwatulole mkoani hapa kuwa kero kubwa kutokana na ubovu ambao umekuwa ukisababisha gari nyingi kukwama na kukosekana kwa baadhi ya huduma za usafiri ,negative
11,sw_train_00012,wewe takataka sijui utakuwa linisasa linichokufanya uvamie mkutano wa chadema leo ni kitu gani hujaalikwa u,negative
12,sw_train_00013,s day msanii wa muziki nchini tanzania ameendelea kuugulia maumivu ya kutokuwepo kwa mzazi mwenzake mchekeshaji mrembo boss maha aliyefariki septemba ,negative
13,sw_train_00014,imekuwa too muchwatu wanashindwa hata kusheherekea maisha yao kwa amanimtu unampost mke wake kumpongeza wameoana we unakuja kutukana kwenye comments watu hata huwajui,negative
14,sw_train_00015,mama mzazi wa mwandishi wa habari za uchunguzi anayeshikiliwa na dola erick kabendera verdiana mjwahuzi amefariki dunia desemba taarifa za kufariki kwake zimepatikana alfajiri ya leo januari mosi,negative
15,sw_train_00016,tumepokea kwa masikitiko makubwa taarifa za kuuawa kwa katibu wa chadema jimbo la manyoni mashariki bw alex jonas usi,negative
16,sw_train_00017,basi walitakiwa wawatoe kisiasa pia matumizi ya nguvu nyingi sio sahihihapo wameua hadi mtaji,negative
17,sw_train_00018,mwanafunzi wa chuo kikuu cha dodoma tungu mgaya anashikiliwa na jeshi la polisi mkoani dodoma tangu jana kwa kutuhuma z,negative
18,sw_train_00019,tatizo mlituma watu waandamane siku ileili kukimbia kichapolkn mbio za ukiongoni huishia farasi,negative
19,sw_train_00020,akutukanaye hakuchagulii tusi hii ndio karaha ya kufungwa watu wanafyatuka tu na headlines zao,negative
20,sw_train_00021,chama cha wamiliki wa mabasi tanzania taboa kimemwandikia barua waziri mkuu kassim majaliwa kujitoa kwenye kamati ndogo akizungumzia sababu za kujitoa ktk kamati hiyo katibu mkuu wa taboa ernest mrutu alisema wamefikia hatua hiyo kutokana na changamoto zao kutotatuliwa,negative
21,sw_train_00022,so wazee wanawanyanyasa hadi wajeda sio sisi raia tu sijapenda me nawaaminia sana wajedasiku za mbeleni najua hamtotuangusha wanetu na mtakuwa mmechukizwa sana ila basi tu,negative
22,sw_train_00023,me mwenyewe linanishinda kuliandika ila nalikumbukaumeniita jina langu nikaogopa,negative
23,sw_train_00024,videowatu wamepoteza maisha na wengine kujeruhiwa kwenye mlipuko uliotokea leo katika kiwanda cha kemikali mashariki mwa china cgtn,negative
24,sw_train_00025,me nimepita asubuhi vimebomolewa vyoteina maana ni usiku na hawajahusishwahuu ni uhuni,negative
25,sw_train_00026,humu ndani kuna watu wana madini mengi sana shida ni kwamba ukiwaomba waziteme watakuzungusha bora uweke notification on,negative
26,sw_train_00027,muda huu kuna mjinga mmoja yupo ananusa boxer yake kama haina harufu avae tena baada ya kuivaa siku ,negative
27,sw_train_00028,hakuna mtandao wa kijamii ambao ni salama kwa sasa walipoanzisha facebook twitter nakadhalika ikiwemo mtandao wa l,negative
28,sw_train_00029,halafu kuna mwamba wa zamani wa man united kakosa penati leo hakuna pa kujifichia msimu huu,negative
29,sw_train_00030,wanafunzi wenye ulemavu wakwamishwa na miundombinu lindi klik,negative
30,sw_train_00031,kama lengo lilikuwa ni kututisha na kutukatisha tamaa wananchi katika harakati za kupigania mabadiliko kutoka katika utawa,negative
31,sw_train_00032,ile msg ya sizioni siku zangu si uwa inakuogopesha sasa kwanini hupendi kutumia,negative
32,sw_train_00033,mimi huwa sipendi kufanya kazi na ndugu zangu sababu ndugu wanalawama sana hawakubali kama nimeshakuwa bosi kandi baham,negative
33,sw_train_00034,ni mwaka mmoja sasa tangu jasiri muongoza njia ruge mutahaba atangulie ni kama juzi tu endelea kupumzika mahali pema peponi,negative
34,sw_train_00035,kila mtu akipata mita za ujazo chini ya maana yake tumeingia kwenye uhaba wa maji ikifika kwamba kila mtu anapata mit,negative
35,sw_train_00036,anatuambisha sana sisi kama wasukuma wenzake hatujapenda kabisa,negative
36,sw_train_00037,leo nimepika choroko maana mambo naona yamevurugika kweli na wahindi hawataki choroko zetu,negative
37,sw_train_00038,kabisawatu walimpinga kwa watu binafsi kufanya hili suala bila financial institution,negative
38,sw_train_00039,sehemu ya ripoti ya mchunguzi maalum robe mueller nchini marekani juu ya kujihusisha kwa urusi kwenye uchaguzi wa urais wa mwaka inaonesha kuwa rais donald trump alitaka kuudhibiti uchunguzi huo na kulazimisha kuondolewa kwa mueller mwaka ,negative
39,sw_train_00040,watu wengi wanatumia mitandao ya kijamii ila sheria zake hawazijui na wala hawataki kuzijua,negative
40,sw_train_00041,poleni sana wateja wetutunaifanyia kazi changamoto hiyo ya kuangalia slio kwa ujumla,negative
41,sw_train_00042,nimepokea kwa masikitiko makubwa taarifa za kifo cha rais mstaafu na baba wa taifa la zimbabwe mzee robe mugabe afrika i,negative
42,sw_train_00043,utabiri wa hali ya hewa wa siku tano na athari zinazoweza kutokea umetolewa leo tarehe na mamlaka ya hali ya,negative
43,sw_train_00044,nchi ya drama na matukio ila hii kama ikidhihirika ni kweli basi ni kashfa kubwa sana kitaifa mark my words maswali ha,negative
44,sw_train_00045,naibu rais iran aambukizwa virusi vya corona nigeria yaripoti kisa kimoja via,negative
45,sw_train_00046,kuna story ambayo mke wangu hapendi kusimulia imekuwa ikimtesa sana ipo hivi mke wangu ni mmoja wa watu waliozaliwa a,negative
46,sw_train_00047,aiseeee this is nonsense hivi ameongea baya gani mpaka mtu unaropokwa maneno yote hayo,negative
47,sw_train_00048,mbinu mojawapo ya watawala ni kuwafanya watawaliwa kuona kwamba maadui wao wanatoka nje ili wapambane nao badala ya ku,negative
48,sw_train_00049,unakuta wengine ndio kwanza wanapenda kukuona ukiwa tegemezi kwao,negative
49,sw_train_00050,umeme ambapo miradi ya usafirishaji kutokana na umbali huo inakuwa ni ya gharama sana kutokana na kuwa mahitaji ja umeme yalikuwa tayari ni makubwa katika maeneo ambayo hata hayajafikiwa na gridi ya taifa ililazimu kufanya miradi mbadala kwa ajili ya kufikisha umeme wa,negative
50,sw_train_00051,tumeshavuna aibu yetu olympic tokyo waliokabidhiwa bendera wako wapi mpaka mtu kaamua kutusaidia kubeba bendera,negative
51,sw_train_00052,kuna kipindi rafiki yangu mmoja alikuwa ananitongozea girlfriend wangu na alikuwa kabisa anajua mimi ndio natoka nae ht,negative
52,sw_train_00053,nyoka aina ya chatu ameingia katika gari la watalii kupitia magurudumu ya mbele ya gari hilo ambapo wageni waliokuwa wakitumia gari hilo wameonyesha kutokuwa na wasiwasi wowote soma zaidi gtgt,negative
53,sw_train_00054,inasikitisha sanahiyo ndio tanzaniapoleni,negative
54,sw_train_00055,shame wanakatili watoto kwa mambo zao za kisiasa ni huupuzi kabisa,negative
55,sw_train_00056,wakala wa barabara tanzania tanroads umesema ujenzi wa daraja la mto mkange mkoani morogoro lililosombwa na maji utaanza leo usiku huu kwa ushirikiano na makandarasi wa ujenzi wa reli ya kisasa sgr,negative
56,sw_train_00057,spika wa bunge ametoa siku nne hadi ijumaa kwa serikali kuwasilisha taarifa ya kina kuhusu mauaji ya watoto yanayoendelea mkoani njombe waziri jenista mhagama aliliomba bunge kutoa muda huo kwani serikali inahitaji muda kutoa taarifa kamili itakayoelezea pia hatua walizochukua,negative
57,sw_train_00058,machozi jasho na damu,negative
58,sw_train_00059,mhusika mwenye picha au video hiyo mbali na makosa ya kisheria unayoyatenda kwa kusambaza tambua kutuma picha za fara,negative
59,sw_train_00060,watanzania wameonyesha hawakipendi chama cha mapinduzi sio jambo la kawaida katika kipindi hiki kigumu watanzania wamenyi,negative
60,sw_train_00061,tazama kivuko cha mv nyerere kimezama ziwa victoria,negative
61,sw_train_00062,wasichana wana changamoto nyingi zinazohusiana na hedhi mojawapo ni kutokupata taarifa sahihi pamoja na kunyanyapaliwa,negative
62,sw_train_00063,we me wa online sio offlinesema dharau zinazidi sana humukila kukicha halafu vibwana vidogo tu,negative
63,sw_train_00064,mimi watani wangu hawajawahi kuvuka mipaka ila pimbi ambao sina hata mazoea ndo huwa wananichokonoa,negative
64,sw_train_00065,yaani coco huna akili ujinga wenu na yule ex wako mpumbavu umenicost sana hadi mimi hebu fikiria nimeweka bondi gari y,negative
65,sw_train_00066,nikila hicho chakula minyoo yangu ya tumboni inaweza kuzimia kwa kupata mshituko maana ni surprise kwao,negative
66,sw_train_00067,kama hawa waliowachukua kina roma na moni ni polisi na kuwapeleka kusikojulikana basi hii nchi ilipofika ni kubaya san,negative
67,sw_train_00068,ninapo kosa hela washkaji wanatoweka ninaporekebisha pumbavu wanasogea,negative
68,sw_train_00069,polisi morogoro yadaka mtandao wa wizi yapo magari nyama na nyara,negative
69,sw_train_00070,je wajua imekua ni kawaida kwa watu kufanya mapenzi kinyume na maumbile kisheria ni kosa la jinai na adhabu yake ni k,negative
70,sw_train_00071,hakika wameonesha udhaifu mkubwa kutokuwa na common opposition front hii inamaanisha wamejigawa we,negative
71,sw_train_00072,simba mmeshinda kwasababu yanga ni pungufu na refa pia ni wa kwenu siku zote kwanini asingetafutwa refa mwingine wa final,negative
72,sw_train_00073,kumbe sio serikali tu hadi wadau wengine wa maendeleo hawana imani na vijana,negative
73,sw_train_00074,rais wa serikali ya wanafunzi chuo kikuu cha dar daruso pamoja na viongozi wengine wamefukuzwa chuo kwa kusimamia haki,negative
74,sw_train_00075,naibu waziri wa habari julianashonza ametoa onyo kwa baadhi ya wasanii wanaopiga picha za utupu,negative
75,sw_train_00076,kondomu inanibana hii kauli imezika vijana wengi sana kwa gonjwa la ukimwi,negative
76,sw_train_00077,sipendagi kabisa kucheza hii michezo ila leo nimeborekwajaza hizo twende sawa bank acct routing name on debit c,negative
77,sw_train_00078,jana nilimwambia mtu imagine unakufa huu msimu imetoka bia tamuakasema hapana inauma,negative
78,sw_train_00079,wanaongoza ni wanawake wenyewe ubaguzi chuki na kukosa utu wa wanawake dhidi ya hawa wadada wa kazi is on anoth,negative
79,sw_train_00080,basi la kampuni ya premier limegongana uso kwa uso na lori mkoani mbeya lenye namba za usajili t aet linalofanya safari,negative
80,sw_train_00081,mambo ya kumaliza kesi za ukatili kifamilia zinakwamisha nyuma jitihada za kupinga vitendo vya ukatili dhidi ya wanawake wat,negative
81,sw_train_00082,da kaka kuna mda yanaweza kukukuta mambo magumu mpaka inakubidi tu uwe mbali ila inaumiza s,negative
82,sw_train_00083,mnasema tutoe namba lakini hakuna feedback mnayotupa namba hii apa tunaomba mtusaidie jamani wateja wengi wanalalamikia siku hizi mmekua na huduma mbovu sana na simu zenu ukipiga zinakata ukicheki salio bado,negative
83,sw_train_00084,tunaonewa sana imagine mtu anakwambia kuna msukuma eti amemuona amejichora tattoo ya tigo pesa mkononi,negative
84,sw_train_00085,hili la kila siku wameshalipigia kelele miaka sasa,negative
85,sw_train_00086,ibada ya eid al adha imeendela ndani ya ikulu ya rais ashraf ghani wa afghanistan licha ya makombora kutupwa jirani na i,negative
86,sw_train_00087,utanifanya nisirudi darhalafu ile juzi nilijua unataka kunichoma kisu kilikuwa jirani yako,negative
87,sw_train_00088,mwaka uligubikwa na matukio mengi ya watu kuuwawa wakisemekana ni majambazi lakini baadae ndugu wa waliouwawa waliibuka n,negative
88,sw_train_00089,wanachofanyiwa wafanya biashara wadogo wadogo machinga inahuzunisha sana,negative
89,sw_train_00090,kesi namba inayowakabili viongozi wakuu wa na baadhi ya wabunge katika mahakama ya kisutu dar leo imea,negative
90,sw_train_00091,mamia ya waombolezaji wameungana leo kuuaga mwili wa mwandishi wa habari wa shirika la utangazaji la ujerumani isaack muyenjwa gamba ambae alikutwa amefariki nyumbani kwake oktoba mwaka huu soma zaidi gtgt,negative
91,sw_train_00092,kuna wakati kulifunguliwa jalada la wizi wa kuaminiwa katika kikuu cha polisicentral dar es salaam cdrb wizi,negative
92,sw_train_00093,yahya haxxan habari tafadhali tunaomba kufahamu changamoto unapotumia huduma zetu,negative
93,sw_train_00094,nashangaa watu wanaumia na furaha za watu wenginehata ukisema nimeshibaaunaambiwa mseng wewe hujui sisi tuna njaa,negative
94,sw_train_00095,kigogo huyu wa cuf ajiuzulu mwenyewe aeleza,negative
95,sw_train_00096,ukichaguliwa mwishon ujue uwezo wako ni mdogo kuliko wote mwenye mpira akikaclika mpira umeisha inaruhusiwa kubadili golikipa kama ikitokea penat na baada ya apo ataendelea kudaka yule yule mechi itaisha pale giza linapoingia,negative
96,sw_train_00097,wanawake bana kwahiyo kumchangamkia mwanamke mwenzio mbele yako kisa amefanya kitu fulani ni kosa em kaangalie hii ep,negative
97,sw_train_00098,habari ahsante kwa kuwasiliana nasi tunaskitika kujua hilo hivyo fahamu jinsi ya kudhibiti matumizi yako ya intaneti zm,negative
98,sw_train_00099,yaaani people are sad kuona wengine wako happy yaani wanachukia kabisa makasiriko ya hali ya juu wamerogwa sijui,negative
99,sw_train_00100,rais magufuli atuma salamu za rambirambi vifo vya vijana wa jkt askari jwtz na dereva vilivyotokea mbeya,negative
100,sw_train_00101,hili tatizo kubwa sana kwetumtu akijaribu kutusanua aah huyu naye anajifanya mjuajisometimes nafikiri,negative
101,sw_train_00102,boresheni miundombinu acheni kutoa mapovu wakati hali halisi mnaiona,negative
102,sw_train_00103,old man hii bank haina bench la wazee yani tuna panga foleni kweli mmetuchoka customer experience manager hamna bench kwa,negative
103,sw_train_00104,meko unaficha ficha vitu kwa kuwa ni mwizi kumbe ndani ya miaka mitatu unakopa wb halafu unakataza document zisiwe release,negative
104,sw_train_00105,mzee baba huku hali si shwari hali tete sana hamna cha democrasia ni mwendo wa nyu,negative
105,sw_train_00106,huu ni uhuni wala mama hakuagiza hayambona hizi oparesheni zinaweza kufanyika kiustaarabu tusio kila kitu cha kutumia nguvu,negative
106,sw_train_00107,uhuru michezocollum hudsonodoi anataka kutimkia klabu ya bayern munich kwenye uhamisho wake mwezi huu wa januari baada ya maongezi ya mkataba na klabu yake ya chelsea kushindikana,negative
107,sw_train_00108,tabia ya baadhi ya watu kuzaa watoto kisha,negative
108,sw_train_00109,mwaka nilipoteza kazi niliyokuwa nimeajiriwa kwa makosa ambayo sikuhusika lakini upepelezi ulipokuja kufanyika nili,negative
109,sw_train_00110,siwaelewinatuma normal text haziendi napigasimu huduma kwa wateja ampokei sio sawa mahusiano yangu yakivunjika,negative
110,sw_train_00111,news transifoma lalipuka na kuwaka moto maeneo ya mgololo mkoani iringachanzo cha kulipuka hakijajulikana na,negative
111,sw_train_00112,kaya zilizopo kata ya mbesa wilayani tunduru mkoani ruvuma zimekosa mahali pa kuishi baada ya nyumba zao zikiwemo nyumba za shule na madarasa kuezuliwa na upepo,negative
112,sw_train_00113,mbona hivi vidonge vimeadimika hv kwann maana wagojwa wa ulcers wanapata tabu,negative
113,sw_train_00114,ukisikia mtanzania kakamatwa na madawa china huna hata chembe ya kuwaza labda sio mtanzania kweli ila ukisikia mtanzania k,negative
114,sw_train_00115,elimu yetu sandakalawe hawaithamini hata wanaotugawia,negative
115,sw_train_00116,rc aagiza wanafunzi waliooana wakiwemo wazazi wao wakamatwe mkuu wa mkoa wa simiyu jana ameliagiza jeshi la polisi kwa kushirikiana na mkuu wa wilaya na vyombo vingine vya usalama,negative
116,sw_train_00117,baraza jipya likapata wkt mgumu ktk kufanya maamuzi hasa kwenye kutekeleza majukumu yake kimamlaka kwa sababu ya migomo ya,negative
117,sw_train_00118,mapovu ya shilole kuhusu kutopata mtoto na uchebe,negative
118,sw_train_00119,kuwakamata na kuwafunga wanafunzi wajawazito ni kinyume cha sheria na pia kunakiuka haki za binadamu ikiwemo haki ya usawa,negative
119,sw_train_00120,show nyingi za kibongo show ikiisha shabiki unachoka viungo vya mwili kuliko hata msanii aliyepiga show,negative
