,ID,tweet,label
0,am_train_00001,tesfaye ለካስ ጭብል ለብሰሽ የፕሮፌሰርን ፎቶ ለጥፈክ እልም ያልክ ባዳ ነክ እፈር ትንሽ,negative
1,am_train_00002,ይሄው ነው አይደል የእውቀትሽ ጥግበሰሚ ሰሚ ከምትናገሪ ለምን ታሪክ አታነቢምደሞ ራስሽን አታስገምቺ,negative
2,am_train_00003,ዘገበ ይባላል ሌላ የሚባል ነገር ካለ አንተዉ ንገረን,negative
3,am_train_00004, ድሮ በዘመነ ኮዳክ ፎቶ ቤት ፍላሹ ፏ ሲል አይናችን ተጨፍኖ እንዳይወጣ የምንቸክለውን ነገር አስታወሰኝ ምን ሆኖ ነው ግን ከሗላ ያለው ቴዲ ሁሉ ፊቱን አዞረ እኮ ,negative
4,am_train_00005,ዠልጥ ገገማ,negative
5,am_train_00006,ለመጥለቅ ያህል ወሳኝ ነገር ያስፈልጋል ልያታይ ጥስው ዶረበ ጽርቅ ድንአ ምንም ሳይነሱ ሉቃብጠይ ንዱንአ ንችታለሁከ ይአ,negative
6,am_train_00007,የነዚህን አይነት ወሬ አራጋቢ ነው do you get me,negative
7,am_train_00008,ያንተ የበታችነት ስሜት ነው፣ ማንም አክራሪ ሰክሮ እየመጣ መስጂድህን ሲያቃጥልብህ፣ እኛ ብንናገር አንተ መልሰህ እኛን ምን አገባቹ ትላለህ።ያንተን አይነት አለቅላ…,negative
8,am_train_00009,አብይ እራሡ ጀዋርን እንደ መጠቀሚያ አርጎታል ለዚህ ሁሉ ተጠያቂዉ አብይ ነዉ,negative
9,am_train_00010,። ጥንብ ዘረኛ ጥፋ ከዚህ መርዝ,negative
10,am_train_00011,ae በገናው ምድር በዚህ ሲያስተክዘን አመሸ,negative
11,am_train_00012,ላይ የእነዛ ምስኪን ንፁሃን ምንዱባን ነፍሳት የተቀጠፈ ህይወት አይረሳም በአንድ ቀን ጀምበር…,negative
12,am_train_00013,እኔ ሞቻለሁ ጌታ ሆይ ኧረ ና,negative
13,am_train_00014,ያንች ነፃነት በአማራ ህዝብ ነው ወሬኛ,negative
14,am_train_00015,እወድሽ ነበረ ዛሬስ ጠላሁሽ እንደ ሰፌድ ቆሎ ያም ያም ዘገነሽ፧ ወይ ጉድ,negative
15,am_train_00016,ታብሌት ኮምፒውተሮቹ በሥጦታ የተገኙ ናቸው ወይሥ በህዝቡ ገንዘብ የተገዙየከተማ አሥተዳደሩ በጀት ይዞለት ነበርወይሥ ወዘፈቀደ ከንቲባ…,negative
16,am_train_00017,ከመወደዱ የተነሳ ዱለት በሲኒ ማስቀመጫ ከመቅረብ አልፎ በቆርኪ የሚቀርብበት ጊዜ ሩቅ አይደለም ,negative
17,am_train_00018,የ ሰው ህይወት ቀልድ ሆነ በቃ,negative
18,am_train_00019,ሴት ብሆን አይደለም ይሄን በሬ ወለደ ብልሽ ታምኚኝ ነበርእድሌ ነው,negative
19,am_train_00020,ምን እያልኳት ምን ትላለች አሉ የከተማው ሙታንታ ሳይታጠቅ ያደገ ፎሊስ በል ፎከቴያሙ ድይቆን ሁሉ አልቀሩ,negative
20,am_train_00021,የቆሸሸ ሟች ለመደበቅ እዚያ እንደቆሙ አውቃለሁ,negative
21,am_train_00022,አንዳንድ ሰዎች ኢንሻላህ ኢራን አሜሪካን እንደምታሸንፍ አስረግጠው ሲበጠረቁ እያዬሁ ነው ። ሐይማኖትና ጎሰኝነትኮ ሃቅን ለመድፈን ተወዳዳሪ የላቸውም።,negative
22,am_train_00023,ደግ አደረገችህ ምን ብለህ አፍህን ከፍተህ ነው,negative
23,am_train_00024,መንግስት ስለ ዲሞክራሲ ሲቀደድልህ አትስማው። የሚያደርገውን ነገር በደንብ ተከታተል። ያኔ ዓላማው ይገለጥልሃል። የሃሳብ ነፃነትን የሚከለክል መንግስት ስለ ብልፅግና ቢያወራህ እንኳን…,negative
24,am_train_00025,ካቀድነው በላይ ታጋች ያሥፈታን ቢሆንም ከእቅዳችን ጋ ይሠናሠል ዘንድ አንዳንዶቹን መልሠን ለአጋቾቹ ሠጥተናል ወይዘሮ ንጉሡ ጥላሁን ••• d d d ,negative
25,am_train_00026,ጉዳዩ አገር ሰላም ብሎ የተቀመጠን ህዝብ ለበቀል እና የርስበርስ ጦርነት የሚቀሰቅስ ነው።,negative
26,am_train_00027,መጋኛ,negative
27,am_train_00028,አይባልም,negative
