ID	label
tg_test_00001	neutral
tg_test_00002	negative
tg_test_00003	negative
tg_test_00004	negative
tg_test_00005	negative
tg_test_00006	neutral
tg_test_00007	neutral
tg_test_00008	negative
tg_test_00009	negative
tg_test_00010	negative
tg_test_00011	negative
tg_test_00012	negative
tg_test_00013	negative
tg_test_00014	negative
tg_test_00015	neutral
tg_test_00016	negative
tg_test_00017	negative
tg_test_00018	neutral
tg_test_00019	negative
tg_test_00020	negative
tg_test_00021	negative
tg_test_00022	negative
tg_test_00023	negative
tg_test_00024	negative
tg_test_00025	negative
tg_test_00026	neutral
tg_test_00027	neutral
tg_test_00028	negative
tg_test_00029	negative
tg_test_00030	negative
tg_test_00031	negative
tg_test_00032	negative
tg_test_00033	negative
tg_test_00034	negative
tg_test_00035	negative
tg_test_00036	negative
tg_test_00037	negative
tg_test_00038	negative
tg_test_00039	negative
tg_test_00040	negative
tg_test_00041	neutral
tg_test_00042	negative
tg_test_00043	negative
tg_test_00044	negative
tg_test_00045	neutral
tg_test_00046	negative
tg_test_00047	negative
tg_test_00048	neutral
tg_test_00049	neutral
tg_test_00050	negative
tg_test_00051	negative
tg_test_00052	negative
tg_test_00053	negative
tg_test_00054	negative
tg_test_00055	negative
tg_test_00056	negative
tg_test_00057	negative
tg_test_00058	negative
tg_test_00059	neutral
tg_test_00060	negative
tg_test_00061	neutral
tg_test_00062	negative
tg_test_00063	negative
tg_test_00064	neutral
tg_test_00065	negative
tg_test_00066	negative
tg_test_00067	negative
tg_test_00068	negative
tg_test_00069	negative
tg_test_00070	neutral
tg_test_00071	negative
tg_test_00072	negative
tg_test_00073	negative
tg_test_00074	negative
tg_test_00075	negative
tg_test_00076	negative
tg_test_00077	negative
tg_test_00078	negative
tg_test_00079	negative
tg_test_00080	negative
tg_test_00081	negative
tg_test_00082	negative
tg_test_00083	negative
tg_test_00084	negative
tg_test_00085	negative
tg_test_00086	neutral
tg_test_00087	negative
tg_test_00088	neutral
tg_test_00089	neutral
tg_test_00090	negative
tg_test_00091	neutral
tg_test_00092	negative
tg_test_00093	negative
tg_test_00094	negative
tg_test_00095	neutral
tg_test_00096	negative
tg_test_00097	negative
tg_test_00098	negative
tg_test_00099	neutral
tg_test_00100	neutral
tg_test_00101	negative
tg_test_00102	negative
tg_test_00103	neutral
tg_test_00104	negative
tg_test_00105	negative
tg_test_00106	negative
tg_test_00107	negative
tg_test_00108	neutral
tg_test_00109	negative
tg_test_00110	negative
tg_test_00111	negative
tg_test_00112	negative
tg_test_00113	negative
tg_test_00114	negative
tg_test_00115	negative
tg_test_00116	neutral
tg_test_00117	negative
tg_test_00118	negative
tg_test_00119	negative
tg_test_00120	negative
tg_test_00121	negative
tg_test_00122	negative
tg_test_00123	negative
tg_test_00124	neutral
tg_test_00125	negative
tg_test_00126	neutral
tg_test_00127	negative
tg_test_00128	negative
tg_test_00129	negative
tg_test_00130	neutral
tg_test_00131	negative
tg_test_00132	neutral
tg_test_00133	negative
tg_test_00134	negative
tg_test_00135	negative
tg_test_00136	negative
tg_test_00137	negative
tg_test_00138	negative
tg_test_00139	negative
tg_test_00140	negative
tg_test_00141	negative
tg_test_00142	negative
tg_test_00143	negative
tg_test_00144	negative
tg_test_00145	negative
tg_test_00146	negative
tg_test_00147	negative
tg_test_00148	negative
tg_test_00149	negative
tg_test_00150	neutral
tg_test_00151	negative
tg_test_00152	negative
tg_test_00153	negative
tg_test_00154	negative
tg_test_00155	negative
tg_test_00156	negative
tg_test_00157	negative
tg_test_00158	negative
tg_test_00159	negative
tg_test_00160	negative
tg_test_00161	negative
tg_test_00162	neutral
tg_test_00163	negative
tg_test_00164	negative
tg_test_00165	negative
tg_test_00166	negative
tg_test_00167	negative
tg_test_00168	negative
tg_test_00169	negative
tg_test_00170	negative
tg_test_00171	negative
tg_test_00172	negative
tg_test_00173	negative
tg_test_00174	negative
tg_test_00175	negative
tg_test_00176	negative
tg_test_00177	neutral
tg_test_00178	neutral
tg_test_00179	neutral
tg_test_00180	negative
tg_test_00181	negative
tg_test_00182	neutral
tg_test_00183	neutral
tg_test_00184	negative
tg_test_00185	neutral
tg_test_00186	negative
tg_test_00187	negative
tg_test_00188	neutral
tg_test_00189	negative
tg_test_00190	negative
tg_test_00191	negative
tg_test_00192	negative
tg_test_00193	neutral
tg_test_00194	negative
tg_test_00195	negative
tg_test_00196	neutral
tg_test_00197	neutral
tg_test_00198	negative
tg_test_00199	negative
tg_test_00200	negative
tg_test_00201	negative
tg_test_00202	negative
tg_test_00203	neutral
tg_test_00204	negative
tg_test_00205	negative
tg_test_00206	negative
tg_test_00207	negative
tg_test_00208	negative
tg_test_00209	negative
tg_test_00210	neutral
tg_test_00211	negative
tg_test_00212	negative
tg_test_00213	neutral
tg_test_00214	negative
tg_test_00215	negative
tg_test_00216	negative
tg_test_00217	negative
tg_test_00218	negative
tg_test_00219	negative
tg_test_00220	neutral
tg_test_00221	negative
tg_test_00222	negative
tg_test_00223	negative
tg_test_00224	neutral
tg_test_00225	neutral
tg_test_00226	positive
tg_test_00227	negative
tg_test_00228	neutral
tg_test_00229	negative
tg_test_00230	neutral
tg_test_00231	negative
tg_test_00232	negative
tg_test_00233	negative
tg_test_00234	negative
tg_test_00235	negative
tg_test_00236	negative
tg_test_00237	negative
tg_test_00238	negative
tg_test_00239	negative
tg_test_00240	negative
tg_test_00241	negative
tg_test_00242	negative
tg_test_00243	negative
tg_test_00244	negative
tg_test_00245	negative
tg_test_00246	negative
tg_test_00247	negative
tg_test_00248	negative
tg_test_00249	negative
tg_test_00250	negative
tg_test_00251	negative
tg_test_00252	negative
tg_test_00253	negative
tg_test_00254	negative
tg_test_00255	neutral
tg_test_00256	negative
tg_test_00257	neutral
tg_test_00258	negative
tg_test_00259	negative
tg_test_00260	negative
tg_test_00261	negative
tg_test_00262	negative
tg_test_00263	neutral
tg_test_00264	negative
tg_test_00265	negative
tg_test_00266	neutral
tg_test_00267	negative
tg_test_00268	neutral
tg_test_00269	negative
tg_test_00270	negative
tg_test_00271	negative
tg_test_00272	negative
tg_test_00273	neutral
tg_test_00274	negative
tg_test_00275	negative
tg_test_00276	neutral
tg_test_00277	neutral
tg_test_00278	neutral
tg_test_00279	negative
tg_test_00280	neutral
tg_test_00281	negative
tg_test_00282	neutral
tg_test_00283	negative
tg_test_00284	negative
tg_test_00285	neutral
tg_test_00286	negative
tg_test_00287	negative
tg_test_00288	negative
tg_test_00289	neutral
tg_test_00290	negative
tg_test_00291	negative
tg_test_00292	neutral
tg_test_00293	negative
tg_test_00294	negative
tg_test_00295	negative
tg_test_00296	negative
tg_test_00297	negative
tg_test_00298	negative
tg_test_00299	negative
tg_test_00300	negative
tg_test_00301	negative
tg_test_00302	negative
tg_test_00303	negative
tg_test_00304	negative
tg_test_00305	negative
tg_test_00306	negative
tg_test_00307	negative
tg_test_00308	negative
tg_test_00309	negative
tg_test_00310	neutral
tg_test_00311	negative
tg_test_00312	negative
tg_test_00313	neutral
tg_test_00314	negative
tg_test_00315	negative
tg_test_00316	negative
tg_test_00317	negative
tg_test_00318	negative
tg_test_00319	negative
tg_test_00320	negative
tg_test_00321	negative
tg_test_00322	negative
tg_test_00323	negative
tg_test_00324	negative
tg_test_00325	negative
tg_test_00326	negative
tg_test_00327	negative
tg_test_00328	neutral
tg_test_00329	neutral
tg_test_00330	negative
tg_test_00331	positive
tg_test_00332	neutral
tg_test_00333	negative
tg_test_00334	neutral
tg_test_00335	negative
tg_test_00336	negative
tg_test_00337	negative
tg_test_00338	negative
tg_test_00339	negative
tg_test_00340	negative
tg_test_00341	negative
tg_test_00342	negative
tg_test_00343	negative
tg_test_00344	negative
tg_test_00345	negative
tg_test_00346	neutral
tg_test_00347	negative
tg_test_00348	negative
tg_test_00349	negative
tg_test_00350	negative
tg_test_00351	negative
tg_test_00352	negative
