,ID,tweet,label
0,ha_train_00001, da kudin da arewa babu wani abin azo agani da yayi wa alummah allah ya isa yacucemu wlh yarikitamana kasa yarikitamana kasuwanci harkar ilimi harkar lfy hanyoyi babu lantarki dasuransu komai yalalace ga cinhanci da rashawa a fili ko ina a nigeria jamiyaryar su tabataman mlm ,negative
1,ha_train_00002, kaga wani adu ar banda wai a haka shi ne shugaban sojoji gaskiya buhari kaci amanan mu da kasa wannan mutum ah wajen nan,negative
2,ha_train_00003, sai haquri fa yan madrid daman kunce champion din ya muku yawa,negative
3,ha_train_00004, hmmm yanzu kai kasan girman allah daxakace mukuma ga allah kune kukabarshi kuna karyata ayoyinsa kace allah baya karbar adduar talakan nigeria bayan kunzalunceshi kuma allah ya karbar adduar wanda aka zalunta cikin sauri amma kace wai allah baya karbar addua talakawa,negative
4,ha_train_00005, wai gwamno nin nigeria suna afa kwayoyi ko ,negative
5,ha_train_00006, to ku nemawa talakkawa mafita mana magamar banza ko hare hare anka kawo waye sukafi shafa ba talakka ba kumfi uban kowa kuka da matsaloli amma baku damuda wadanda suke shafaba nan tsohon gwamnan zamfara yacce sulhu da yan bindiga ba shine mafitaba to mi shika nuhi mits,negative
6,ha_train_00007, wato mutanen ma an koma fasa kwaurin su ke nan kamar wata shinkafa,negative
7,ha_train_00008, toh ai iyayannaki mah basusan darajan musulinchi ba tun da sukabar ki kinayin halin kafurchi ai bakiyi dana saneba tukun nama,negative
8,ha_train_00009, shirin ku ya rushe akan afrika kenan ,negative
9,ha_train_00010, rarara kai dabanne wallah indai a fannin wakar siyasa ne basirarka ta daban ce dodontsula ,negative
10,ha_train_00011, ai shiyasa naga shi kansa dan rainin wayon yana zama a qasar tasa ana dubashi may be fa a jordan din dayace yayi wannan kalaman tunda yasaba qanqantar damu a idon duniya,negative
11,ha_train_00012, chan ta matse musu damuwata masallatai da aka rufe ne ,negative
12,ha_train_00013, mutanan nigeria suna allah wadai da tafiyar ka kasar waje ya kamata katsaya asibitin gida adubaka indai kai maikishin chigaban kasane,negative
13,ha_train_00014, tayi maganin dan banza ,negative
14,ha_train_00015, nifa ina ganin nafi simeone murna yau an sallami yan iska,negative
15,ha_train_00016, qawar ki tana cikin wani yanayi amman kina ig busy posting pics as if you are under arrest httpstcovlfqedhtny,negative
16,ha_train_00017, buhariko to buhari yayafema allah kuma ya kamu kaidashi ranar wlh zakugane annabi isah ba dan allah bane ,negative
17,ha_train_00018, nikam wai yan gudun hijira ne kawai suke da rai mutanen gari kam baku ganin ukuba da wahalar da suke ciki ne jamaa komi wai aka samu yan gudun hijira yan gudun hijira ,negative
18,ha_train_00019, kuttumar ubaai dole muko ma guna,negative
19,ha_train_00020, akwai jarababbu d yawa,negative
20,ha_train_00021, lanberia kenanai suna sane suka kunno kayar sudama ai lokacin siyasa ya kusasalon su raba mana hankalisun dade barakar bata yage baanki adinke barakar,negative
21,ha_train_00022, boko haram sun shiga garinmu garkida sun tarwatsa kowa kowa yanbar gari an kashe wasu mutanen mutanena sun shiga wani hali bazan taba manta wanan ranan nan ba ,negative
22,ha_train_00023, duk salon yaudara ce kawai saboda ‘yan najeriya su zabe shi a tun yaushe ake shan wahala a najeriya ko sai yau ya sani ,negative
23,ha_train_00024, wai cameroon domin lalacewa gaskiya shugabanninmu basu da amfani,negative
24,ha_train_00025, lol hadda yan nanaye akemana adawa,negative
25,ha_train_00026, shikadai yasan wutar da yake karba yanxu haka ,negative
26,ha_train_00027, wannan tatsuniya ce hira ne yake fada kawae yasan da haka ya tafi can yawon barbada ,negative
27,ha_train_00028, yau ba ranar kulaku bace no charge no surp,negative
28,ha_train_00029, yau da shuwagabannin najeriya ke bada iska da numfashi da tuni babu iri irin mu a doran qasa ,negative
29,ha_train_00030, idan kana iskancinka to katsaya iya jaharka amman inkashigo nan to tabbas zamu yimaka abinda baka tsammani koda babankae bihari,negative
30,ha_train_00031, ko a mafarki kinki mu haddu sai jiya jiya ma zamu haddu akawasa ruwa natashi daga bacci am really unlucky gaskiya,negative
31,ha_train_00032, wai ya makeup da kikeyi baa rage maki bakin vampires din ki ne baki har kunne,negative
32,ha_train_00033, an tarwatsa layin zabe a rumfar mai garin gama httpstcohkighlnwt kanorerun nigeriadecides kanodecides httpstcoduanbrsz,negative
33,ha_train_00034, subahana babu amana,negative
34,ha_train_00035, yafi cuta illa ,negative
35,ha_train_00036, allah ya karanext time tayi mata kunfu,negative
36,ha_train_00037, anci kudin dalibai hahahahah mbuhari is working,negative
37,ha_train_00038, mu masana ilimin yunwa mun tabbatar da zaayi ,negative
38,ha_train_00039, da wani wawan fuskanshi a gurin,negative
39,ha_train_00040, ana iya shege a nigerian ,negative
40,ha_train_00041, aikin knn sai kwamushe yayan alummma ake amma kuna ta allurar karya wae corona hmm kuje kufara karbo yaran da aka dauke snn kuzo kuyi mgn corona,negative
41,ha_train_00042, tabar solobiyo da bashi,negative
42,ha_train_00043, tsakanin mu da ke sai allah ya isa kawaidun da baki saka wa ennan hotunan ba tun farko da hakan bata faru ba kuma ma kukan me zaki zo nan kinayi me yasa bakiyi tunani tun kafin ki saka su ba a dole ke kin waye ke ga celebrity a zindir allah ya isar mana wlh ,negative
43,ha_train_00044, insha allahu baza a bayar ba karawa me karfi karfi asara ne wlh allah ameen ,negative
44,ha_train_00045, dan allah idan an girma asan an girma a wnn shekarun kana irin wnn maganar kace baa taba barna irin wnn lkcn ba abun nan fa abuse yake mai girma minista ina ganin girman ka,negative
45,ha_train_00046, eh hakan zai taimaka kam esp wajen tada musu da hankali su baba an waiwayi kurame ohh,negative
46,ha_train_00047, gaskiya wannan hukunchi baiyi ba kuma abun yafara yawa sallar ma arasa lokachin hanata sai da axumii xaahana to allah gasunan gaka ,negative
47,ha_train_00048, bb munfakai ne bayan zabe ,negative
48,ha_train_00049, in ta mune har abada kar ma ya yi inganci,negative
49,ha_train_00050, daga baya kenan tusane ya qarewa bodari kuma babu wata shiga da kunun zaqi zaiyi yabawa koko tsoro u cant undo what has happened girl cuz u created the chance emmm sorry bby,negative
50,ha_train_00051, kaga dan bura uba kamar ya daga tutar musulunci se faman kwalalo ido yakeyi hiihihih,negative
51,ha_train_00052, kugaya mishi buhari be ma san anyimishi mutuwa ba ai haryanzu,negative
52,ha_train_00053, shegiya weed bbc ashe kuma kukan taba,negative
53,ha_train_00054, taraba diyan banza,negative
54,ha_train_00055, ina ruwanmu daman bazamu ba wancan shhekaran ma da muka je ya bamu dan uwatar ,negative
55,ha_train_00056, zasu sa miki hawan jini kau,negative
56,ha_train_00057, ansace yaran primary a kaduna yau baice komai va amma kaji mugun wai a yau din dai ya fito yana taya mawaqa murna alquran yan arewa kun zabi keken bera,negative
57,ha_train_00058, dama an ce yaranta kaman hauka ne sai ya he ya ci gaba da dawisu sa a gidan baban sa,negative
58,ha_train_00059, allah ya tsinewa amnesty albarka allah ya wulakanta su fiye da yadda suke wulakanta bangarorin musulunci ameen ya hayyu ya qayyum ,negative
59,ha_train_00060, all dis and dt na scam dole qanwar naqi ta sanadinki anyima annabinmu isgili mara kunya kawae dawai ribabban jikinki mara albarkan dunia bare qiyama ,negative
60,ha_train_00061, saidai rahama taji kunya kuma tasabajin kunya dama,negative
61,ha_train_00062, ydg dama idon kaji saurayin da yace ma budurwa ta turo mai da tsiraicin ta toh ba auran ta zai yi ba lalata kawai yake so yayi ,negative
62,ha_train_00063, kayyasa gaskiya bata kyautata ba,negative
63,ha_train_00064, za ta kwashi kashin ta a hannu kuwa,negative
64,ha_train_00065, kaji abin haushi toh uwar me mutun zaizo yayi daga kano zuwa kaduna allah n tuba ay gara na tafi kauyen dadin kowa,negative
65,ha_train_00066, yan bindiga sun sace yan china huɗu a calabar da ke kudancin najeriya httpstcogieoajg httpstcovhrpfd,negative
66,ha_train_00067, muna funcin banza ,negative
67,ha_train_00068, akwai allah aie shiyasa basu damuba koda nigeria zata lalace a shiga yaqi da tashin hankali tunda sunada inda zasuje su huta ,negative
68,ha_train_00069, wllh wannan azzalumi magani guda a harbe shi har lahira domin yazama darasi ga azzalummai irin shi ni gaskiya banga alamun yin adalci a gwamnatin shugaba ba wllh wannan taasa har ina,negative
69,ha_train_00070, yana dan kauyensa see the mouth httptcoukxqjmhe,negative
70,ha_train_00071, uwar me zasu musu bayan sun fada anqaryata suuu,negative
71,ha_train_00072, dan daura mayen jirgi,negative
72,ha_train_00073, bandicts jiya ma da daddare sunshiga garin dan kaya dake sheme ward sunkashe mutum ukku aciki harda jaririsun kwashi dukiya sun ware abunsu kamar yadda suka sababayannan suntafi qauyen unguwar hayaqi nan ma sun kwashi dukiya suntafi hankalin su a kwance httpstcoqpawvvhc,negative
73,ha_train_00074, kai zakuci kaniyan ku fah kaga jairan yara,negative
74,ha_train_00075, tariq ae an dade ba ayi wawa jaki kamarsa ba snitch,negative
75,ha_train_00076, ai kin banzah kennina wadan da aka saya a baya ,negative
76,ha_train_00077, to me zaayiwa gawar shegen kenan,negative
77,ha_train_00078, wallahi inada yaqini cewa buhari baze iya gyara nigeria ba nananda shekara ashirin masuzuwa buhari yakasa securenoh ,negative
78,ha_train_00079, ga abinda talakawanka suka fi bukata nan ba wannan bah ka tuna talakawa na cikin mawuyacin hali a kasarka end sars end noh banditry endsars endnohbanditry ka duba halin da talakan ka yake ciki,negative
79,ha_train_00080, kana samun baki a cikin interview,negative
80,ha_train_00081, ai da alama zai zama bashi ga tsuntsu ba shi ga tarko kuma yayi mutuwar almuru kenan,negative
81,ha_train_00082, wadannan kamata yayi ig of police yasa aci uwar wadannan jakai ,negative
82,ha_train_00083, ina nillahi ah ah jiya fa akace an kwashe mutane fiye da a naija yau kuma ,negative
83,ha_train_00084, na rasa mahaifiya da yaruwata a wannan shekarar so bazan taba mantawa da ita ba har nima in koma ga allah ,negative
84,ha_train_00085, bakin rijiya ba wajan wasan yaro bane ,negative
85,ha_train_00086, kowa anan zai nuna shi he is pure while he isa devil himself wasunku masu zagin anan shahararrun yen iskane wasuma yen luwadi ne wasu kawalai ne kannanku wasu karuwai ne irin shigar dasukeyi ma ya baci sune zuwa payclub amma kunaku ba iskanci sukeba idiots,negative
86,ha_train_00087, masu manufa mai kyau ba irin su oo ba iyayen baragada,negative
87,ha_train_00088, ya dawo kaduna su hade da su yi ta bankaura,negative
88,ha_train_00089, mutanenda suka kasa kashe wutar gidajensu taya za ayi sukashe ta makwabta neman iyawane dama yakaisu dakuma andade ba hawo jirgiba ,negative
89,ha_train_00090, don allah suyi wannan qarin mu wuce gurin tunda shi buhari baqin ciki yakeyi da walwalar talaka,negative
90,ha_train_00091, kowa na karbar tsabga bbc ma sun rasa labarin da zasuyi posting sae kamekame ,negative
91,ha_train_00092, ya ce ya kasa ya sauka ya bar mulkin tunda ba dashi aka zo dunia ba ehe securenoh,negative
92,ha_train_00093, baba kenan to mudai muna water,negative
93,ha_train_00094, ya kamata auren na gidako baki ci kin sha ba xaki ga uwar ki a kan kari,negative
94,ha_train_00095, rashin iya buga tamola ,negative
95,ha_train_00096, ina goyon bayan jaridar domin babu banbanci tsakanin mulkin buhari da mulkin soja wallahi ta kowane fanni matsaloli ne duba da irin yadda ake yiwa talakka mulkin mallaka babu wani abu na cigaba ga talaka a nigeria,negative
96,ha_train_00097, wacece zahra wacece kiki end banditry in the noh bamu yafeba,negative
97,ha_train_00098, dama duk karyane inji gwamnanmu ba injiniba ,negative
98,ha_train_00099, saboda munafiki ne duk silan korarmu daga world cup,negative
99,ha_train_00100, lol sunji uwar wuta kenan,negative
100,ha_train_00101, hakika late comer badan azziki bane bazan mantaba antaba yimin kof daya wallahi yadda naji araina kamar namutu amma gashi ina rayuwa cikin kunci dalilin rashin masoyiyata allah sarki mutuniyar kirki baban tane me son abin duniya ,negative
101,ha_train_00102, su kashe su kawai su aikowa gwaunatin nigeria da kawunan su saboda suma next tym idan sun kama sudau mataki irin haka,negative
102,ha_train_00103, hmmmm in ance musu maras mutunci su zagi mutane ji yadda ta rungume shi kamar wani muharramin ta all in d name of wayewa,negative
103,ha_train_00104, haka ya kamata a dinga yiwa shegun masu sace mana kudi,negative
104,ha_train_00105, durkushewa ta nawa kuma wannan daga daga cikin karya da ya saba ne,negative
105,ha_train_00106, eh musammam ma mugun bawa iron wannan httpstcodirn,negative
106,ha_train_00107, na nesa ke amfana yayinda na karkashin ta keshan rana akan danganta hakan da mutumin dana kusa dashi basu amfanar sa ,negative
107,ha_train_00108, abun ba magana kamar a anshe ma kuddi allah yasa rakkiya na tai yi ,negative
108,ha_train_00109, qaryar banza kawai mudai ba muga alamar hkan ba ai ,negative
109,ha_train_00110, wato sai ina ga kamar hukumomin kasar nan basu gano rikicin katsina zamfara da sokoto ba rikicin bandits bane wallahi faction ne na boko haram idan zasu yi da gaske suyi ba zancen sulhu da yan iska,negative
110,ha_train_00111, toh wata sabuwa inji yan chacaha,negative
111,ha_train_00112, hmm ka gama da talawa wlh ,negative
112,ha_train_00113, bazamu yafewa duk wanda yake da sa hannu a rusa kano ba allah ya isa harbayan ranmu bazamu yafeba ,negative
113,ha_train_00114, mungaji da karya since ,negative
114,ha_train_00115, karyane yen hizbah kuma yen iskane,negative
115,ha_train_00116, tabar bbc da bashi ,negative
116,ha_train_00117, allah ya laanci shugaban france da magoya bayan sa allah kasa a kai masu mummunan hari ,negative
117,ha_train_00118, shi wanan baturen pha na kusa dashii koh shine babban wanda ya cucemu da ya bayar da yancin ,negative
118,ha_train_00119, africa gidan mahaukata ,negative
119,ha_train_00120, qazamar banza kinyi hasara wallahi abanza zaki tafi wuta jaka httpstcomejhesok,negative
120,ha_train_00121, lol smh wallahi dai banga abun shaawa anan ba da na tsaya sauraran wanan abun gara kaimun bulala zaifimun,negative
121,ha_train_00122, idan anki kuma fa,negative
122,ha_train_00123, this old man she said nigeria guys cima zaune dan mai danna jaa kaje kaduba npowar sunfito inka isa kabasu aiki ,negative
123,ha_train_00124, idan akaci gaba da lafiya ahaka mafita daya ce ga yan arewa shine su fara ramuwar gayya kawai,negative
124,ha_train_00125, zaama yan banza halda macron sai ya samu buttttttttttttttttttt ,negative
125,ha_train_00126, wannan karya da yawa take,negative
126,ha_train_00127, kutmelesiiiii yaji amsa kam ,negative
127,ha_train_00128, kace ba a nigeria kadai bane akwai en iska ,negative
128,ha_train_00129, kuji dan iska ana sacemu amma wae mawaka yake taya wa murna ,negative
129,ha_train_00130, gaskiya ina fatan haka amma dai abin kamar da wuya,negative
130,ha_train_00131, wlh banji dadin qazafin nan d akae miki va kuma allah xae saka miki kiyi hakuri abun n matukar bata min rae will marry me wlh ina kaunarki kuma xan kasance tare dake amma nasan bai xama dole ki amunta dani ba amma ni dagaske nake ina snyin rayuwa dake,negative
131,ha_train_00132, wllh banga amfani zama da wanna zindikinba kawai ayanki mishi hukuchi da adinnimu ya tana da allah ya isa yahudanchi yachika duniya ya rabb kastarimu da tabiwa ire wanna turdakai da haihuwar ka kwara barinka wallahi ,negative
132,ha_train_00133, ya tafi da daloli kawai sai a canza sakamakon zaben,negative
133,ha_train_00134, babu na allah ,negative
134,ha_train_00135, wannan abin fa naga alamun dagaske ne anma su kamfanonin layin da kuma bakuna zasu sha wahala,negative
135,ha_train_00136, da kuwa najeriya ta wargaje allah yasa shekara dinnan iyakacin abunda zasuyi kenan har abada karsusake dawowa,negative
136,ha_train_00137, indai kuwa sunyi kama da juna to amerikawa suna ruwa,negative
137,ha_train_00138, irin yadda kike shan zagi a social media ne ,negative
138,ha_train_00139, barkonon tsohuwa zaa harba mar,negative
139,ha_train_00140, ae mahmud ya jazama masu sunan shi,negative
140,ha_train_00141, yau ranar kaza gobe ranar kaza yen yen yensaimuga yazusuyi idan ranakun suka kare abubuwan yin basu kare ba,negative
141,ha_train_00142, gaskiya nigeria taji kunya ace dan kasa sai ya debi abinci xai ci sannan kuma a kama shi wannan tirr ne a duniya ,negative
142,ha_train_00143, a duk lokacin da kakeso ka gano matsala akan wani toh tabbas ka shiga inda dole wataran sai an gani maaurata ba yara bane this is stupidity ,negative
143,ha_train_00144, mahari dan taadda ,negative
144,ha_train_00145, madugu ya tsorata ,negative
145,ha_train_00146, sbd rashin sanin makamar aiki,negative
146,ha_train_00147, taji kana kiran b i abun ba hauka bane ko hanyar sata xubasu babbar riga suma ,negative
147,ha_train_00148, suma cin dan uwarsu ,negative
148,ha_train_00149, wlh ina tausaya mata dole taci kutumar uban ta waiyo allah walakiriiii rip ,negative
149,ha_train_00150, kungiyar likitoci ta najeriya reshen jihar kano ta tabbatar wa bbc mutuwar likita daya a jihar yayin da da sauran maaikatan lafiya suka kamu da cutar korona httpstcohldliqyq,negative
150,ha_train_00151, ba don allah akeyi ba kenan,negative
151,ha_train_00152, kai jamaa wai shin ah ina kejin gulma neh koh dai son hada fada httpstcowcftzyrsm,negative
152,ha_train_00153, kinga adai dai kenan yanda allah zaici ubanki tnda izgili kike yi masa wannan shine kin sani kin take kenan tab kina ruwa,negative
153,ha_train_00154, kaji dan wahala kayi a banza ,negative
154,ha_train_00155, a banza ance da karuwa yar iska ,negative
155,ha_train_00156, gaskiya wannan rishin sanin ciwon kai ne yayinda nigeria ke fuskantar kalu balan tsaro ta ko ina wasu keson a canza mata suna ,negative
156,ha_train_00157, gaskiya trump bai ya abin da ya dace ba ,negative
157,ha_train_00158, mudai muna ruwa ba damn kallo,negative
158,ha_train_00159, da kudin mu ma bamu ga wuta ba’ ballan tana ace kyauta za’a bamu ,negative
159,ha_train_00160, shege da baki kamar kare ya kurbi ruwan dumi,negative
160,ha_train_00161, bakusa uwar me sabulun ba ai ,negative
161,ha_train_00162, waike yanzu kina da bakin mgn tir tir nifa na tsani mai hali irin naki wlh,negative
162,ha_train_00163, allah y rahamsheshi ya saka mana dan ni wallahi billahi bazan yapeba,negative
163,ha_train_00164, tafi tafi mah xa’ace an sace shugaban kasar indae aka cigaba da haka ,negative
164,ha_train_00165, zasu ci da mutane ne in sun hanasu neman kudi ,negative
165,ha_train_00166, bbc iyayen propaganda da boko haram din dakuma is din duka mutane dayane kuma iyayen gidansu dayane su france england da america ba abunda alumma sukeso kuke yadawaba illah kuna yada abunda iyayen gidanku sukeso ,negative
166,ha_train_00167, a uwark dandai yau jumaat dana baki rua,negative
167,ha_train_00168, kina ruwa saadatu am ,negative
168,ha_train_00169,“ yan boko haram sun sace mutane a kamaru httptcoiyhsntvvj”,negative
169,ha_train_00170, wani a ciki uban wasu ne wani a ciki mijin wata ne wani a ciki yana da iyaye tsofaffi wanda dashi suka dogara sai dai kawai suji kamar a mafarki ance musu an yanka wane wannan rashin imani da me yayi kama,negative
170,ha_train_00171, ba sai ayi mugani ba in tusa zata hira wuta ni wlh sam bantaba jin shi a matsyn shugaban da zai iya rike nigeria ba ko dayake sanda yai mulki baa haifeniba amma dai ni banji yana da kirkin ko kwarin gwiwar farfado da nigeria saboda ai alamar karfi tana ga mai kiba,negative
171,ha_train_00172, dama bayida wani anfani sai dai kawai yan kudun nigeria dasuke koyawa yan arewacin nigeria iskanci eg zina da shigan banza,negative
172,ha_train_00173, wllh kwamnatimu tachikasun banzakaijamaa anbasu sunruki duk dahaka suna niman na bati,negative
173,ha_train_00174, ai da kasheshi sukayi wlh da mun huta ,negative
174,ha_train_00175, kanku akaijiii ba ruwana,negative
175,ha_train_00176, shegen kayaaa bah mutumina yaji kidan genaral a sama kenan,negative
176,ha_train_00177, allah ya isan mu garbati,negative
177,ha_train_00178, bashi mara ji ba,negative
178,ha_train_00179, daga nan kasar italiya garin da covid ya kashe mutum million wannan rashin aikin yi ne kokuma hauka ne ko neman magana ina ruwanmu da fassaran kukan mage nabi mage da gudu babu takalma ,negative
179,ha_train_00180, kowa yatuba dan wuya bbu lada,negative
180,ha_train_00181, agaskiya baa kyautawa mutanen kano baamma bamusan asalin yanda abin yake ba,negative
181,ha_train_00182, ku dai ba kwa daukar darasin rayuwa kurar da kawarki ta tayar har yanzu bata lafa ba fa amma maimakon kudan nutsu ku bari ta lafa sannan a cigaba da gashi amma inaa shine ke ma kike son jawo mana wani sabon zagin ba ku da kirki wallahi ,negative
182,ha_train_00183, ban yarda ba idan kana yi da baka kara kudin man fetur ba tunda kaine ministan fetur,negative
183,ha_train_00184, ku kuka sani maga mai karya acikin ku,negative
184,ha_train_00185, ƙarya kike you miss abroad dai coz of coro zaman gida dole ,negative
185,ha_train_00186, kokuma munafi kai ba,negative
186,ha_train_00187, kundin ubancan yaseen qarya kikeyi muzaki raena watou keee bakigama laefin shigan dakikayiva kinyi asaran dunia invaki kiyayeva asanadinki kinsa anzagi masoyin da allah yayiki domin shi wlhy vamu yafeva munhadu gaban allah ,negative
187,ha_train_00188, aniyar su ta para bayyana mu mun san dole dama akwai lauje cikin nadi dole yan arewa mu chanja salo kuma mu tashi tsaye don wlhy an bar mu baya,negative
188,ha_train_00189, galadima ae ya chi kai ,negative
189,ha_train_00190, babu wasu nasarori da anka samu,negative
190,ha_train_00191, wlh wasu mutane akwaye raiyenin hankali garesu tayaya zaa cewa bisa kuskure bayan yasan banashi bane wannan bawai kuskure bane daganganci ne tonda yasani ya aikata ,negative
191,ha_train_00192, kaji wawa ana yunwa a duniyar mutame amma yana tunanin zuwa mars salon corona idan tayi tsamari su gudu su barmu oh ni talaka ,negative
192,ha_train_00193, innalillahi wainna ilaihi rajuun allah yayiwa shugaban kasar najeriya muhammad buhari taurin kai,negative
193,ha_train_00194, gaskia wannan abun yayi yawa wallahi se kace babu jami’an tsaro,negative
194,ha_train_00195, watama tana dakin saurayinta tana kwana amma harda ita ake zagii dnt wantu mention name here,negative
195,ha_train_00196, toh fa su an rikice ,negative
196,ha_train_00197, aha al’ada indae bataka ba arowa kayi to ko bazataima kyauba bakamar mae ita ba ,negative
197,ha_train_00198, su karbe wayoyinsa su bashi vivo ,negative
198,ha_train_00199, inbanda rashin imani ma kai wanene da zakace akashe halittar allah kai allah yayi ka daidai sai ka tsani bawansa mai matsalabanda ka gode mai kakuma rokamai sauki agurin allah wallahi allah ba abn wasa bani ba domin cikin sakan daya zai iya mai dakai halittar da bazaka ganu ba,negative
199,ha_train_00200, dan tana daya daga cikin wanda suka sa albasa yayi tsada ,negative
200,ha_train_00201, tho ina ruwan mu dawani guntun munafuncin ku yama shekara dubu achan ,negative
201,ha_train_00202, gaskiya ci gaba da tsare mallam ibrahim elzakzaky zalunci ne kara ra,negative
202,ha_train_00203, sir karya takai tun kafin a haife ta nake kallon films dinka ,negative
203,ha_train_00204, minister wutar lantarki abubakar shekau albornawy yace sai sun shekara basu ga wutar lantarki ba ,negative
204,ha_train_00205, kajimin tsohon nan harda wani cewa miliyan tsabar rainin hankali ,negative
205,ha_train_00206, indae ba qin xuwan namu xae sanya a kore mu nee daga najeriya ba ae bamu xuwa ,negative
206,ha_train_00207, mtseww yabon me yabo ta wajan zura idanu ana kashe mutane mufa mungaji da gafara sa bamuga kaho ba securenoh,negative
207,ha_train_00208, haha wals nima nawa kullum ana ragemin narasa dalili,negative
208,ha_train_00209, kaji yanda bawan allah nan ke bayani kai kace an nemi shawararsa,negative
209,ha_train_00210, yau ga lalacewa ni ameenatu,negative
210,ha_train_00211, laa dama rahama ke bahaguwa ce,negative
211,ha_train_00212, kina iskanci san ranki plx indai zaki burgeni ki curo nonon ki daya plx i wan see somtin ,negative
