,ID,tweet,label
0,ig_train_00001,nna ike gwuru ooo httpstcondsjufbgd,negative
1,ig_train_00002, chineke nna kezi mgbe ole,negative
2,ig_train_00003,lol isi adirokwanu gi nma httpstcogzmgykrw,negative
3,ig_train_00004, haha fulani herdsmen akpa amu gi retweet rie nsi ,negative
4,ig_train_00005,nna ghetto di gi na aru biko httpstcogbziukg,negative
5,ig_train_00006, ezigbo onye iberibe,negative
6,ig_train_00007,thief ole barawo onye oshi httpstcopzgohdpv,negative
7,ig_train_00008,chukwu nna afam ị gaghị egbu mmadụ na app a httpstcosjaivdtwyp,negative
8,ig_train_00009, or ma agbalie gi elu,negative
9,ig_train_00010, o dikwa egwu,negative
10,ig_train_00011, lmao awka na ebi ajo ndu,negative
11,ig_train_00012, nna ehh ụfọdụ ụmụ nwoke dara iberibe ,negative
12,ig_train_00013, rapụ ndị nzuzu,negative
13,ig_train_00014,taa nnaa gaa zuru ike httpstcoizwxsftoc,negative
14,ig_train_00015,nobody ugly oooo obu ego na akpari mmadu httpstcogdsquyjzkf,negative
15,ig_train_00016, rijuo nsi onu dia nkea abuluzia gini alako kwana muna chairmo ooh before kitikpa agbasa gi isi,negative
16,ig_train_00017,negodu mama mmadu httpstcoglwfqqclz,negative
17,ig_train_00018, nsogbu dị kwa ife corona na cause ,negative
18,ig_train_00019, zuzuru getaway from here onye nkogheri,negative
19,ig_train_00020, agwọ sia onye ala ọ gaghị ahapụ ntamu,negative
20,ig_train_00021, thunder fire onu gi ji ekwu ụdịrị ihe a,negative
21,ig_train_00022, i di sure na the okiri agbawabero ya isi,negative
22,ig_train_00023,i bu onye nzuzu httpstcotuihpozae,negative
23,ig_train_00024, o siri nke ozo na beer adiro ya mma na aru,negative
24,ig_train_00025, ya ehh m nweta gị,negative
25,ig_train_00026, maka chi na ochichi buhari a ka mmadụ naeje eyi udi akwa ahụ ,negative
26,ig_train_00027,i na atupuru ndi nzuzu onu httpstcocsylquib,negative
27,ig_train_00028, nzuzu ya di few mush,negative
28,ig_train_00029, aunty mi e ne we iwe oku oh,negative
29,ig_train_00030, ị na ańaa ifeanyi ọnụ ọjọọ nti,negative
30,ig_train_00031, biko dutelu anyi mmadu from mgbago inu,negative
31,ig_train_00032, haha ele gini nwanyi kedu ubosi e subakwa imo ,negative
32,ig_train_00033, ike guru m o,negative
33,ig_train_00034, nsogbu digodi next season for arsenal,negative
34,ig_train_00035, guy idikwanu ajoo wicked afa ehhhhh egwu dikwa,negative
35,ig_train_00036, ọ bụghị asị mana ole nime ha ka isi dị mma,negative
36,ig_train_00037,ezigbo nonsense lmao httpstcorxhbrcjtj,negative
37,ig_train_00038, mechie onu osiso iti boli bor,negative
38,ig_train_00039,kilikpa lacha gi anya ebeahu idiot,negative
39,ig_train_00040, oge ahu gbuo gi dia esi beegi eje bee onye kwanu,negative
40,ig_train_00041,chineke nna ekwekwala ihe ọjọọ httpstcohegxxexenc,negative
41,ig_train_00042, as in ehn ndi mmadu enwero zi obi ebele ,negative
42,ig_train_00043,luiz efulefu mmadu,negative
43,ig_train_00044,ndị ala ndi ala lele lekwa ha httpstcochvnexq,negative
44,ig_train_00045, o di na iwu mana aga azota ana wee zoba ute onowu kee mgbe ana akpo anyi oku,negative
45,ig_train_00046, dont oo maka ndu gi,negative
