,ID,tweet,label
0,twi_train_00001,kako be shark but wo ti ewu,negative
1,twi_train_00002,br ne bayie nti na me suppoi man city,negative
2,twi_train_00003,s woofis mada wafutuo tantan no ywo smafa dabiaa mekaewos menny celebrity s wodidimatma menso myeya wo nana,negative
3,twi_train_00004,wabɔdam anaa wo trumu yɛ nkate nkwan aseɛ,negative
4,twi_train_00005,enfa bi da bra ,negative
5,twi_train_00006,messi saf den check en bp na wo kwame danso wo di twe da kor aaa na wawu,negative
6,twi_train_00007,gyae gyae na menk bi da,negative
7,twi_train_00008,ah na wiegyimi anaaa,negative
8,twi_train_00009,nea wani ny wosuro a bo wo team din wo team ne papa mu nono,negative
9,twi_train_00010,na steph curry no wegyimi anaa,negative
10,twi_train_00011, minute biaaa na broken hea nam mu,negative
11,twi_train_00012,saaaa na we wu,negative
12,twi_train_00013,owura na yesu de anka bet fa woho bn,negative
13,twi_train_00014,me bo efu paa,negative
14,twi_train_00015,wo nyɛ papa wo,negative
15,twi_train_00016,de gea odwan,negative
16,twi_train_00017,nyame bɛtua npp ka eii,negative
17,twi_train_00018,lionel messi papa team ben wab da ,negative
18,twi_train_00019,eiii na rydee na broken hea yi,negative
19,twi_train_00020,wodeɛ sɛ wano checki hwɛ ,negative
20,twi_train_00021,aaaaahhhhhh so ashaiman afariwa be the gulf city no herrrrr nyankopon b tua mo ka paaaaaa branding bn nie,negative
21,twi_train_00022,but agradaa ankasa ne trim by den oo hw human fi fake so,negative
22,twi_train_00023,masa wo boa koraaa ,negative
23,twi_train_00024,mbelesem dem aaaaa na new year ababankye,negative
24,twi_train_00025,blacko gyai gyimii no cos u belong to god not karishika ,negative
25,twi_train_00026,twitter for likes and retweets mu agyimi saa ama mi ka kyere adui kraaa ɔngyi di ahiafoɔ ni adwentsrɛ diɛɛ,negative
26,twi_train_00027,ka aba fie sika no ahye ,negative
27,twi_train_00028,kyerese heaven mpo bo wo ewiese eehu o,negative
28,twi_train_00029,otan hunu ara kwa,negative
29,twi_train_00030,asem bba da bi,negative
30,twi_train_00031,trumu tanka nti you are crushing ei alhaji,negative
31,twi_train_00032,obi nse kofi taylor s ne gyimie nu ka sn,negative
32,twi_train_00033,nyame btua wonso kasia to ,negative
33,twi_train_00034,krom ayɛ hye too much yɛ tumi bisa ambulance kraa lift,negative
34,twi_train_00035,alatafo mma br o piii atwa mu mpena koraa omo nni bi oman ben nni kanea aaa yaamutu odo nso yaamutu,negative
35,twi_train_00036,asw wagyimie oooo eeiiii meym mpo ashi me snaa ebi didi bi akyi eeiii kweku picaso,negative
36,twi_train_00037,wo y nipa bn,negative
37,twi_train_00038,akkoa yi ti ate oo ,negative
38,twi_train_00039,s eny nsem bi a anka ka nokware s chelsea nso y team mpo anaa mu sore a dede hunu nkoaa ene mun ,negative
39,twi_train_00040,eeii bossu obaa nti wo ka nkwasiasem ,negative
40,twi_train_00041,oh tsw dierr hoh tsw ya register wiasim ha niama nyinaaasika sei saaa ghana beyond aid no registration faho bn,negative
41,twi_train_00042,wo naa yenp wo deda wo b sre sika akokor photo if you dont,negative
42,twi_train_00043,wo maame trumu korrrrr aboa,negative
43,twi_train_00044,saa werner no wagyimi anaa,negative
44,twi_train_00045,sakanka arsenal player enso de european trophy fa wo ho ben,negative
45,twi_train_00046,y na y bl oo ,negative
46,twi_train_00047,nyansa baako sei nni ger yi trim adn aa packs and money ,negative
47,twi_train_00048,ay ka wonna enemys get we ooooo ny nkwasiafo politicians yiaa anka alatafo nso y nipa,negative
48,twi_train_00049,mtcheww sei na nnwom te,negative
49,twi_train_00050,ruth p kasa dodou be kasa gyan anaa,negative
50,twi_train_00051,brofo no wo fom waaa,negative
51,twi_train_00052,them yti sika so us na sika no w hi,negative
52,twi_train_00053,adn woy bayifoc na wotw asei,negative
53,twi_train_00054,handouts no nkoaa dem go tell u say ibi courses na baako bia y gh ybl oo,negative
54,twi_train_00055,akoa yale wo tee dase abr aaa na wama wo kora so,negative
55,twi_train_00056, ah kwame sabi ɛnti nkwasia keka yi wongyae,negative
56,twi_train_00057,ny yie gye woahom papa lawyer wae abronyfoyi w mo redzi aboree ara ewu,negative
57,twi_train_00058,medikal ankasa ne rap nyinaaa as ne ho balike hes cumin gidigidi nkooaaa,negative
58,twi_train_00059,y yenaa y rap nanso esono obiaa ene be bo enti masa dwag me me,negative
59,twi_train_00060,obi nka kyere kofi taylor s ne gyimi no ka sn,negative
60,twi_train_00061,team wey your staing point guard be pat berv deɛ mo nyɛ papa bia saa,negative
61,twi_train_00062,kwaku frimpong de asem aba ewie,negative
